FILE_ID,LOAD_TIMESTAMP,ENTRY_NUMBER,ENTRY_DATE,LINE_NO,PART_NO,HTS,COUNTRY_OF_ORIGIN,VALUE,DUTY,ANTIDUMPING,COUNTERVAILING
EXP_00000001,2026-03-09 13:02:52,936-4296576-1,10/22/2025,1,OIL COOLER,8708.99.91.90,Mexico,5676.33,283.82,NO,NO
EXP_00000002,2026-03-09 13:02:52,936-4296576-1,10/22/2025,2,95-800383,8708.99.15.00,Mexico,2888.75,0.0,NO,YES
EXP_00000003,2026-03-09 13:02:52,936-4296576-1,10/22/2025,3,E151930,8408.20.90.90,India,845.21,42.26,NO,NO
EXP_00000004,2026-03-09 13:02:52,936-4296576-1,10/22/2025,4,SO30071,8511.20.10.00,China,499.79,0.0,NO,NO
EXP_00000005,2026-03-09 13:02:52,936-4296576-1,10/22/2025,5,BEARING SET,8538.90.10.00,Mexico,122.89,0.0,NO,NO
EXP_00000006,2026-03-09 13:02:52,936-4296576-1,10/22/2025,6,E422774,9999.99.99.99,Mexico,44591.24,0.0,NO,NO
EXP_00000007,2026-03-09 13:02:52,936-4296576-1,10/22/2025,7,36-945444,8503.00.95.80,United States,59.58,0.0,NO,NO
EXP_00000008,2026-03-09 13:02:52,936-4296576-1,10/22/2025,8,TURBO CHARGER,8409.91.10.00,India,7917.62,395.88,NO,NO
EXP_00000009,2026-03-09 13:02:52,936-4296576-1,10/22/2025,9,UNKNOWN-PART-371,8483.30.10.00,China,4279.61,320.97,,
EXP_00000010,2026-03-09 13:02:52,936-4296576-1,10/22/2025,10,SO96171,8511.40.00.00,Mexico,563.56,56.36,NO,NO
EXP_00000011,2026-03-09 13:02:52,936-4296576-1,10/22/2025,11,CYLINDER HEAD,8484.10.00.90,China,554.05,13.85,NO,NO
EXP_00000012,2026-03-09 13:02:52,116-2106227-1,12/31/2025,1,E795448,9999.99.99.99,China,9183.71,2295.93,YES,NO
EXP_00000013,2026-03-09 13:02:52,116-2106227-1,12/31/2025,2,E193506,8708.70.90.00,China,5654.72,565.47,NO,NO
EXP_00000014,2026-03-09 13:02:52,116-2106227-1,12/31/2025,3,SO36074,8409.91.99.90,India,216.41,10.82,NO,NO
EXP_00000015,2026-03-09 13:02:52,978-9951198-7,12/04/2025,1,SO58963,8302.49.80.90,Mexico,3792.86,94.82,NO,NO
EXP_00000016,2026-03-09 13:02:52,978-9951198-7,12/04/2025,2,70-835394,8484.20.00.00,Mexico,306.67,23.0,NO,NO
EXP_00000017,2026-03-09 13:02:52,978-9951198-7,12/04/2025,3,E858686,8511.40.00.00,United States,972.89,0.0,NO,NO
EXP_00000018,2026-03-09 13:02:52,978-9951198-7,12/04/2025,4,SO79539,8414.30.10.67,Mexico,4249.14,212.46,NO,NO
EXP_00000019,2026-03-09 13:02:52,995-3621819-1,01/20/2026,1,E682216,8482.10.10.50,China,855.71,21.39,YES,NO
EXP_00000020,2026-03-09 13:02:52,995-3621819-1,01/20/2026,2,E491235,8501.32.00.00,China,24875.88,1243.79,,
EXP_00000021,2026-03-09 13:02:52,995-3621819-1,01/20/2026,3,95-204168,8483.10.10.10,China,366.03,0.0,YES,NO
EXP_00000022,2026-03-09 13:02:52,943-7942947-5,02/10/2026,1,XX213040,9999.99.99.99,Mexico,213.22,31.98,NO,NO
EXP_00000023,2026-03-09 13:02:52,943-7942947-5,02/10/2026,2,12-214319,8708.99.91.90,China,82739.19,12410.88,NO,NO
EXP_00000024,2026-03-09 13:02:52,943-7942947-5,02/10/2026,3,87-577576,8408.20.90.20,Mexico,8388.95,629.17,NO,NO
EXP_00000025,2026-03-09 13:02:52,943-7942947-5,02/10/2026,4,E995383,8408.20.10.00,Mexico,884.57,0.0,,
EXP_00000026,2026-03-09 13:02:52,943-7942947-5,02/10/2026,5,43-498294,8511.30.90.00,Mexico,400.75,0.0,NO,NO
EXP_00000027,2026-03-09 13:02:52,340-4921660-0,11/30/2025,1,E510107,8483.30.10.00,Mexico,139.64,10.47,NO,NO
EXP_00000028,2026-03-09 13:02:52,173-7125872-4,01/29/2026,1,E454312,8302.49.80.90,China,424.31,106.08,NO,NO
EXP_00000029,2026-03-09 13:02:52,173-7125872-4,01/29/2026,2,96-146397,8413.30.90.10,China,44623.53,6693.53,NO,NO
EXP_00000030,2026-03-09 13:02:52,173-7125872-4,01/29/2026,3,58-425340,9999.99.99.99,United States,95.55,0.0,,NO
EXP_00000031,2026-03-09 13:02:52,173-7125872-4,01/29/2026,4,86-510868,8511.40.00.00,India,563.15,84.47,NO,NO
EXP_00000032,2026-03-09 13:02:52,173-7125872-4,01/29/2026,5,SO56790,8415.81.00.75,China,877.63,65.82,,
EXP_00000033,2026-03-09 13:02:52,173-7125872-4,01/29/2026,6,12-221936,8421.31.00.00,China,729.69,182.42,YES,YES
EXP_00000034,2026-03-09 13:02:52,173-7125872-4,01/29/2026,7,TEST99204,8536.50.90.00,Mexico,1959.64,195.96,NO,NO
EXP_00000035,2026-03-09 13:02:52,173-7125872-4,01/29/2026,8,XX360351,8483.10.10.10,Mexico,64811.77,3240.59,NO,NO
EXP_00000036,2026-03-09 13:02:52,173-7125872-4,01/29/2026,9,12-214710,8708.91.90.00,China,799.65,39.98,NO,NO
EXP_00000037,2026-03-09 13:02:52,173-7125872-4,01/29/2026,10,SO78003,8301.60.00.00,United States,22848.48,0.0,NO,NO
EXP_00000038,2026-03-09 13:02:52,173-7125872-4,01/29/2026,11,SO52040,8301.60.00.00,China,50324.92,5032.49,NO,YES
EXP_00000039,2026-03-09 13:02:52,173-7125872-4,01/29/2026,12,90-912391,8708.95.90.00,China,16240.92,4060.23,NO,NO
EXP_00000040,2026-03-09 13:02:52,173-7125872-4,01/29/2026,13,13-525107,8421.31.00.00,United States,4603.89,0.0,NO,NO
EXP_00000041,2026-03-09 13:02:52,173-8541565-4,11/17/2025,1,SO31900,8414.30.10.00,Mexico,6200.88,0.0,NO,NO
EXP_00000042,2026-03-09 13:02:52,173-8541565-4,11/17/2025,2,61-255589,8708.95.90.00,United States,2003.81,0.0,NO,NO
EXP_00000043,2026-03-09 13:02:52,173-8541565-4,11/17/2025,3,75-690820,8708.99.15.00,Mexico,86073.87,8607.39,NO,NO
EXP_00000044,2026-03-09 13:02:52,173-8541565-4,11/17/2025,4,E523551,8501.10.10.00,Mexico,997.25,49.86,NO,NO
EXP_00000045,2026-03-09 13:02:52,173-8541565-4,11/17/2025,5,UNKNOWN-PART-877,8408.20.10.00,United States,452.91,0.0,NO,NO
EXP_00000046,2026-03-09 13:02:52,173-8541565-4,11/17/2025,6,SO42304,8411.81.00.80,Mexico,3342.61,250.7,NO,NO
EXP_00000047,2026-03-09 13:02:52,173-8541565-4,11/17/2025,7,63-639718,8501.32.00.95,Mexico,9260.74,463.04,NO,
EXP_00000048,2026-03-09 13:02:52,173-8541565-4,11/17/2025,8,SO63862,8708.99.91.90,Mexico,182736.75,4568.42,NO,NO
EXP_00000049,2026-03-09 13:02:52,173-8541565-4,11/17/2025,9,60-614145,8503.00.10.00,China,850.51,127.58,NO,YES
EXP_00000050,2026-03-09 13:02:52,281-8882656-3,03/12/2026,1,E306412,8536.50.90.00,Mexico,415.5,62.32,NO,NO
EXP_00000051,2026-03-09 13:02:52,281-8882656-3,03/12/2026,2,29-742349,8302.41.60.30,China,4320.5,432.05,YES,NO
EXP_00000052,2026-03-09 13:02:52,281-8882656-3,03/12/2026,3,92-253291,8708.99.91.90,Mexico,6797.82,0.0,,YES
EXP_00000053,2026-03-09 13:02:52,281-8882656-3,03/12/2026,4,57-448861,8408.20.90.20,India,2974.53,148.73,NO,NO
EXP_00000054,2026-03-09 13:02:52,281-8882656-3,03/12/2026,5,E752685,8409.91.10.00,Mexico,96424.06,14463.61,NO,NO
EXP_00000055,2026-03-09 13:02:52,281-8882656-3,03/12/2026,6,UNKNOWN-PART-233,8484.20.00.00,China,4497.92,224.9,NO,NO
EXP_00000056,2026-03-09 13:02:52,281-8882656-3,03/12/2026,7,SO20608,8301.60.00.00,United States,971.04,0.0,NO,NO
EXP_00000057,2026-03-09 13:02:52,281-8882656-3,03/12/2026,8,SO17753,8481.80.25.00,Mexico,93936.77,0.0,NO,NO
EXP_00000058,2026-03-09 13:02:52,281-8882656-3,03/12/2026,9,UNKNOWN-PART-771,9999.99.99.99,Mexico,2562.17,64.05,NO,NO
EXP_00000059,2026-03-09 13:02:52,281-8882656-3,03/12/2026,10,39-259635,8421.23.00.00,India,71545.43,17886.36,NO,NO
EXP_00000060,2026-03-09 13:02:52,591-6254041-0,01/27/2026,1,24-105768,8484.10.00.90,China,115.4,0.0,YES,NO
EXP_00000061,2026-03-09 13:02:52,591-6254041-0,01/27/2026,2,SO67708,8511.20.10.00,India,18742.57,937.13,NO,YES
EXP_00000062,2026-03-09 13:02:52,591-6254041-0,01/27/2026,3,SO24811,8511.30.90.00,United States,397.47,0.0,NO,NO
EXP_00000063,2026-03-09 13:02:52,591-6254041-0,01/27/2026,4,SO95670,8413.30.90.10,United States,359.99,0.0,NO,NO
EXP_00000064,2026-03-09 13:02:52,591-6254041-0,01/27/2026,5,INVALID-6508,8536.50.10.00,United States,78969.9,0.0,NO,NO
EXP_00000065,2026-03-09 13:02:52,591-6254041-0,01/27/2026,6,SO50363,8409.91.99.90,United States,827.45,0.0,NO,NO
EXP_00000066,2026-03-09 13:02:52,591-6254041-0,01/27/2026,7,SO47610,8708.91.90.00,China,5002.72,0.0,NO,NO
EXP_00000067,2026-03-09 13:02:52,591-6254041-0,01/27/2026,8,56-579613,8414.30.10.00,India,2280.51,114.03,NO,NO
EXP_00000068,2026-03-09 13:02:52,591-6254041-0,01/27/2026,9,E596558,8484.10.00.90,China,4938.46,740.77,YES,NO
EXP_00000069,2026-03-09 13:02:52,591-6254041-0,01/27/2026,10,UNKNOWN-PART-992,8483.30.10.35,China,908.96,0.0,YES,NO
EXP_00000070,2026-03-09 13:02:52,591-6254041-0,01/27/2026,11,SO90432,8483.10.10.10,China,126.58,9.49,NO,YES
EXP_00000071,2026-03-09 13:02:52,510-8050773-8,12/14/2025,1,XX775590,8708.95.90.00,India,3818.69,381.87,NO,NO
EXP_00000072,2026-03-09 13:02:52,510-8050773-8,12/14/2025,2,SO55410,9999.99.99.99,China,3805.96,285.45,NO,NO
EXP_00000073,2026-03-09 13:02:52,510-8050773-8,12/14/2025,3,SO61209,8481.80.25.00,India,983.91,24.6,NO,YES
EXP_00000074,2026-03-09 13:02:52,510-8050773-8,12/14/2025,4,SO36234,8421.31.00.86,United States,9161.84,0.0,NO,NO
EXP_00000075,2026-03-09 13:02:52,510-8050773-8,12/14/2025,5,SO22013,8511.40.00.00,United States,79.2,0.0,NO,NO
EXP_00000076,2026-03-09 13:02:52,510-8050773-8,12/14/2025,6,SO19310,8408.20.10.00,China,26871.69,0.0,NO,NO
EXP_00000077,2026-03-09 13:02:52,510-8050773-8,12/14/2025,7,XX787701,8414.59.20.00,China,668.73,33.44,NO,NO
EXP_00000078,2026-03-09 13:02:52,510-8050773-8,12/14/2025,8,SO39044,8414.30.10.00,Mexico,4390.14,109.75,NO,NO
EXP_00000079,2026-03-09 13:02:52,510-8050773-8,12/14/2025,9,SO93760,9999.99.99.99,India,2689.78,201.73,NO,NO
EXP_00000080,2026-03-09 13:02:52,510-8050773-8,12/14/2025,10,WATER PUMP,8408.20.10.00,Mexico,965.52,0.0,NO,
EXP_00000081,2026-03-09 13:02:52,510-8050773-8,12/14/2025,11,E169964,8483.90.90.10,Mexico,8464.17,634.81,NO,NO
EXP_00000082,2026-03-09 13:02:52,510-8050773-8,12/14/2025,12,E749044,8413.30.20.00,India,36639.37,0.0,NO,NO
EXP_00000083,2026-03-09 13:02:52,798-8808991-3,01/27/2026,1,63-906959,8536.50.10.00,China,423.28,0.0,NO,YES
EXP_00000084,2026-03-09 13:02:52,798-8808991-3,01/27/2026,2,63-748108,8482.10.10.50,China,276.52,0.0,NO,NO
EXP_00000085,2026-03-09 13:02:52,798-8808991-3,01/27/2026,3,SO36572,9999.99.99.99,Mexico,821.75,0.0,NO,NO
EXP_00000086,2026-03-09 13:02:52,798-8808991-3,01/27/2026,4,SO90785,8413.30.90.10,India,51824.19,0.0,NO,NO
EXP_00000087,2026-03-09 13:02:52,530-5787306-4,02/24/2026,1,SO26682,8413.30.20.11,United States,2863.55,0.0,NO,NO
EXP_00000088,2026-03-09 13:02:52,530-5787306-4,02/24/2026,2,64-471161,8481.20.10.00,India,86737.87,4336.89,NO,NO
EXP_00000089,2026-03-09 13:02:52,530-5787306-4,02/24/2026,3,48-140266,8301.60.00.00,China,80.04,4.0,NO,
EXP_00000090,2026-03-09 13:02:52,530-5787306-4,02/24/2026,4,INVALID-3884,8503.00.10.00,Mexico,129160.63,3229.02,NO,NO
EXP_00000091,2026-03-09 13:02:52,530-5787306-4,02/24/2026,5,SO15871,8302.41.60.30,China,4086.59,612.99,YES,NO
