DATEI_ID,LADEN_ZEIT,EINTRITTSNUMMER,EINTRITTSDATUM,ZEILE,TEILENUMMER,ZOLLTARIFNUMMER,URSPRUNGSLAND,WARENWERT,ZOLLBETRAG,ANTIDUMPING_ZOLL,AUSGLEICHSZOLL
KN_00000001,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,1,E767435,8302 4200 00,CHN,"902,16","67,65",NEIN,NEIN
KN_00000002,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,2,ANLASSER,8414 5920 00,USA,"859,51","0,00",NEIN,
KN_00000003,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,3,69-470883,8483 3010 00,MEX,"16.607,38","1.660,74",NEIN,NEIN
KN_00000004,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,4,UNGÜLTIG-4738,0000 4144 49,USA,"11.476,20","0,00",NEIN,
KN_00000005,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,5,TEST96995,8302 4200 00,CHN,"478.678,03","23.933,90",JA,NEIN
KN_00000006,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,6,SO91535,8413 3090 10,USA,"608,73","0,00",NEIN,NEIN
KN_00000007,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,7,EINSPRITZDÜSE,8708 9915 00,CHN,"99.265,86","4.963,28",NEIN,JA
KN_00000008,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,8,59-889819,5678 3307 91,KOR,"289,67","14,48",NEIN,NEIN
KN_00000009,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,9,TEST92530,8537 1018 00,POL,"290,07","21,76",NEIN,NEIN
KN_00000010,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,10,E754043,8578 4000 00,KOR,"1.991,13","0,00",JA,NEIN
KN_00000011,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,11,SO67492,8511 1000 00,CHN,"50.021,00","1.250,52",NEIN,NEIN
KN_00000012,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,12,SO19947,8414 8022 00,CHN,"1.137,22","85,29",,
KN_00000013,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,13,72-802457,8408 2090 20,CZE,"107,37","8,05",NEIN,NEIN
KN_00000014,09.03.2026 13:01:38,DE-2025-561057,07.01.2026,14,E990610,8421 2300 00,USA,"94.850,71","0,00",NEIN,NEIN
KN_00000015,09.03.2026 13:01:38,DE-2025-236733,29.01.2026,1,E250701,8484 1000 90,USA,"10.394,09","0,00",NEIN,NEIN
KN_00000016,09.03.2026 13:01:38,DE-2025-236733,29.01.2026,2,E802643,8414 8022 00,CHN,"36.919,65","1.845,98",JA,NEIN
KN_00000017,09.03.2026 13:01:38,DE-2025-236733,29.01.2026,3,45-340521,8536 5090 00,MEX,"556,28","139,06",NEIN,NEIN
KN_00000018,09.03.2026 13:01:38,DE-2025-236733,29.01.2026,4,SO84497,0000 6915 58,CHN,"7.101,80","355,08",,JA
KN_00000019,09.03.2026 13:01:38,DE-2025-236733,29.01.2026,5,E642760,8482 5000 00,CHN,"945,91","70,93",NEIN,NEIN
KN_00000020,09.03.2026 13:01:38,DE-2025-236733,29.01.2026,6,SO86295,8536 5010 00,CHN,"413,18","0,00",NEIN,NEIN
KN_00000021,09.03.2026 13:01:38,DE-2025-714348,29.01.2026,1,SO72002,8302 4200 00,MEX,"308.678,96","46.301,83",NEIN,
KN_00000022,09.03.2026 13:01:38,DE-2025-714348,29.01.2026,2,28-290276,8543 5090 00,IND,"97.424,25","14.613,63",NEIN,NEIN
KN_00000023,09.03.2026 13:01:38,DE-2025-714348,29.01.2026,3,SO65936,8483 9090 10,MEX,"434,00","0,00",NEIN,NEIN
KN_00000024,09.03.2026 13:01:38,DE-2025-514134,19.03.2026,1,45-536349,8481 8022 00,USA,"83.330,22","0,00",NEIN,NEIN
KN_00000025,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,1,44-928889,8537 1018 00,CHN,"878,55","43,92",JA,NEIN
KN_00000026,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,2,SO68322,8408 2090 20,CHN,"416,89","10,41",NEIN,NEIN
KN_00000027,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,3,E468303,8511 2010 00,DEU,"125,54","0,00",NEIN,NEIN
KN_00000028,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,4,UNBEKANNT-TEIL-780,8708 5079 00,USA,"7.294,53","0,00",NEIN,NEIN
KN_00000029,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,5,SO98388,8302 4980 90,TWN,"332,80","24,96",NEIN,NEIN
KN_00000030,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,6,SO86628,8549 1000 00,TWN,"1.719,81","43,00",NEIN,NEIN
KN_00000031,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,7,SO90086,1234 4695 92,CHN,"459,45","0,00",NEIN,NEIN
KN_00000032,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,8,SO96016,8511 5090 00,USA,"266,87","0,00",NEIN,NEIN
KN_00000033,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,9,KURBELWELLE,8708 9590 00,IND,"88.716,66","0,00",NEIN,NEIN
KN_00000034,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,10,68-665797,8411 8100 00,CHN,"2.128,63","319,30",NEIN,NEIN
KN_00000035,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,11,SO57716,0000 2214 87,KOR,"939,11","93,90",NEIN,NEIN
KN_00000036,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,12,E463159,8482 5000 00,USA,"447,06","0,00",NEIN,NEIN
KN_00000037,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,13,E314309,8483 4020 00,USA,"602,91","0,00",NEIN,NEIN
KN_00000038,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,14,24-818886,8511 2010 00,CHN,"57.992,36","8.698,85",NEIN,NEIN
KN_00000039,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,15,77-648171,8544 3000 00,USA,"88.091,25","0,00",NEIN,NEIN
KN_00000040,09.03.2026 13:01:38,DE-2025-479488,08.01.2026,16,E780772,8345 4100 00,CHN,"82.690,02","6.201,75",NEIN,NEIN
KN_00000041,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,1,85-936362,8415 8100 10,IND,"28.571,59","4.285,73",NEIN,NEIN
KN_00000042,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,2,TURBOLADER,8409 9199 90,KOR,"440,60","22,03",NEIN,NEIN
KN_00000043,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,3,E411838,8501 1010 00,MEX,"85.363,83","0,00",NEIN,NEIN
KN_00000044,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,4,E196389,8411 9900 00,CHN,"705,73","176,43",NEIN,NEIN
KN_00000045,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,5,SO63956,8481 8025 00,TWN,"8.904,12","0,00",NEIN,NEIN
KN_00000046,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,6,17-443568,8411 9900 00,POL,"46.104,72","3.457,84",NEIN,NEIN
KN_00000047,09.03.2026 13:01:38,DE-2025-395828,03.02.2026,7,55-394656,8728 4090 00,CHN,"2.172,86","217,28",JA,NEIN
