CORRECTION_ID,LINE_ID,ENTRY_NUMBER,ENTRY_DATE,BROKER_NAME,PART_NUMBER,COUNTRY_OF_ORIGIN,HTS_CODE,ENTERED_VALUE,FIELD_CORRECTED,ORIGINAL_VALUE,CORRECTED_VALUE,CORRECTION_REASON,ANALYST_NOTES,REGULATORY_REFERENCE,RELATED_CASES,BUSINESS_CONTEXT,CORRECTION_CATEGORY,CORRECTED_BY,CORRECTION_DATE,WAS_FLAGGED_BY_SYSTEM,CONFIDENCE_LEVEL,TIME_TO_RESOLVE_MINUTES,REQUIRED_RESEARCH
75032EEC-43D4-4209-A75D-EE3136C5BFC0,51712D06-24F3-4013-9C14-6C6D295D3BF1,E78538672,2025-11-05,DHL_GLOBAL,R-56331-B,MY,8501216997,97675.87,QUANTITY,12,33,Classification error - product function misidentified,Broker acknowledged error,19 CFR 10.411,Related pattern in CORR-8289,Quality replacement for defective batch,ADD_CVD,Amanda Foster,2025-11-29,FALSE,MEDIUM,157,FALSE
E438C026-DC64-4945-94D6-28E5EF17159D,31514615-3F8D-41F3-B672-FA272EACCFA8,00522293963,2026-01-10,DHL_GLOBAL,S-26367-A,MX,8482823713,72499.34,CVD_FLAG,N,Y,Countervailing duty incorrectly assessed,System should have caught this,CBP Directive 3550-067,Similar correction: CORR-9937 (2025-12-07),Engineering sample for R&D,ADD_CVD,Sarah Chen,2026-01-13,TRUE,HIGH,77,TRUE
207A498F-129E-49EB-BA29-DAAD0C27BB67,F47138B4-9D1B-47BC-B2D6-BEBECB8BB168,00847981531,2025-08-31,UPS_SCS,M-74486-C,IN,7318818209,5303.52,CVD_FLAG,N,Y,"Per 701-TA-549, India fasteners require CVD",India + steel + fasteners = CVD. Always.,19 USC 1671; C-533-866 scope memo,Linked to CORR-4990 (same broker),Warranty replacement parts shipment,ADD_CVD,Rachel Anderson,2025-09-13,FALSE,HIGH,24,FALSE
E9CFE547-9DF7-40F6-B08D-891FA60D646A,53021A59-4B3B-4D5A-B120-E6AEC408CA68,E52274971,2025-12-15,DHL_GLOBAL,R-15061-C,JP,8501827170,24140.75,HTS_CODE,8501247788,8479462564,Tariff code error identified during audit,Broker acknowledged error,CBP Directive 3550-067,,Aftermarket parts inventory replenishment,HTS_CLASSIFICATION,Sarah Chen,2025-12-29,FALSE,HIGH,83,TRUE
2A71CF56-C4D5-474A-84C2-9F7B68F6BF3F,039245C6-69FF-4C5B-A58C-9AB2CF9C9AD4,697-3569432-4,2026-01-16,KUEHNE_NAGEL,X-79956-C,CA,8482698884,17348.64,ADD_FLAG,N,Y,Antidumping duty should not apply,Needed research to confirm,19 USC 1401a,Linked to CORR-9995 (same broker),New product line introduction,ADD_CVD,Michelle Brown,2026-02-04,TRUE,HIGH,111,TRUE
7FEB1472-F447-4162-993A-617683F92B2F,8B686124-EF79-46BB-9324-762FECFBAF53,00513020780,2025-10-01,EXPEDITOR,C-44410-A,MY,8453962498,123689.95,FEE_CODE,1,13,Reclassification based on product composition,Needed research to confirm,19 USC 1401a,,Quality replacement for defective batch,VALUATION,Michelle Brown,2025-10-30,TRUE,LOW,144,FALSE
D020D103-7DC5-4AE9-845F-D557760D3C04,F8450BD6-E5F7-4B25-BB16-F24DAE002E8D,E35574084,2025-11-29,KUEHNE_NAGEL,T-48783-B,VN,8483498115,33552.36,COO,GB,TH,Origin documentation shows different COO,Caught during routine audit,19 CFR 141.86,Linked to CORR-5687 (same broker),Seasonal demand fulfillment,COUNTRY_OF_ORIGIN,Stephanie Moore,2025-12-27,TRUE,LOW,96,FALSE
AFE07EEE-01E1-4596-ABDE-C6477A5BC987,CDB12848-739D-4F18-ACCD-05B3AB451EBD,00951296333,2026-02-04,EXPEDITOR,T-29177-A,VN,8479892062,14661.71,HTS_CODE,8483559068,8483418420,Updated classification per CBP guidance,Broker acknowledged error,HTS General Note 3,"Pattern matches CORR-3586, CORR-6265, CORR-8086",Seasonal demand fulfillment,HTS_CLASSIFICATION,Michael Rodriguez,2026-02-26,FALSE,LOW,46,FALSE
A2F44610-8ED4-4F60-9C90-1DB5950D5232,C9F740CF-65AD-446B-8363-5FC78C95B912,100-5886774-4,2025-09-11,EXPEDITOR,R-64112-A,DE,7326720417,69916.83,QUANTITY,66,75,Classification error - product function misidentified,Flagged by weekly review process,19 CFR 141.86,,High-priority production critical parts,COUNTRY_OF_ORIGIN,Daniel Garcia,2025-09-21,FALSE,HIGH,65,FALSE
097FCC4A-25C6-46BB-A36D-8B9CDF5BD7F7,FBE8237D-EB70-4632-8556-8380970A2230,00230537120,2025-12-05,DHL_GLOBAL,P-16616-D,GB,8414145079,50885.65,HTS_CODE,8481263053,8483449638,HTS subheading incorrect - corrected per GRI,System should have caught this,19 USC 1484,Linked to CORR-3794 (same broker),Quality replacement for defective batch,HTS_CLASSIFICATION,Christopher Lee,2025-12-28,TRUE,LOW,13,TRUE
