CASE_ID,COO,HTS_CODE,ADD_ORDER_NUMBER,CVD_ORDER_NUMBER,ADD_RATE,CVD_RATE,EFFECTIVE_DATE,STATUS
MX-7318-900,MX,7318240000,A-201-900,C-201-900,10.0,25.0,2022-08-10,ACTIVE
CN-8708-900,CN,8708101000,A-570-900,C-570-900,200.0,25.0,2024-08-12,ACTIVE
IN-8504-900,IN,8504501000,A-533-900,C-533-900,100.0,5.0,2020-02-26,ACTIVE
IN-8483-901,IN,8483102000,A-533-901,,25.0,0.0,2018-07-18,ACTIVE
CN-8412-901,CN,8412215000,A-570-901,C-570-901,50.0,50.0,2024-09-21,REVOKED
IN-8504-902,IN,8504101000,A-533-902,C-533-902,10.0,10.0,2024-02-11,ACTIVE
CN-8481-902,CN,8481401000,A-570-902,C-570-902,50.0,100.0,2018-06-21,ACTIVE
IN-8414-903,IN,8414301000,A-533-903,,150.0,0.0,2023-06-07,ACTIVE
CN-8708-903,CN,8708301000,A-570-903,C-570-903,250.0,50.0,2024-06-23,ACTIVE
CN-7318-904,CN,7318160000,A-570-904,C-570-904,300.0,75.0,2019-06-20,ACTIVE
CN-7318-905,CN,7318130000,A-570-905,,200.0,0.0,2019-10-21,ACTIVE
VN-8708-900,VN,8708101000,A-552-900,,10.0,0.0,2021-03-12,ACTIVE
VN-8708-901,VN,8708101000,A-552-901,C-552-901,50.0,5.0,2020-05-07,SUSPENDED
KR-8413-900,KR,8413309100,A-580-900,C-580-900,10.0,5.0,2018-12-24,ACTIVE
CN-7318-906,CN,7318120000,A-570-906,C-570-906,100.0,75.0,2020-10-22,ACTIVE
CN-8414-907,CN,8414308000,A-570-907,,300.0,0.0,2022-01-11,ACTIVE
IN-7318-904,IN,7318230000,A-533-904,,25.0,0.0,2018-03-24,ACTIVE
CN-8414-908,CN,8414308000,A-570-908,,50.0,0.0,2020-12-04,ACTIVE
MX-7318-901,MX,7318140000,A-201-901,C-201-901,50.0,25.0,2019-09-10,ACTIVE
MX-8481-902,MX,8481201000,A-201-902,C-201-902,10.0,25.0,2024-08-29,ACTIVE
CN-8408-909,CN,8408209000,A-570-909,C-570-909,150.0,50.0,2022-11-11,ACTIVE
MX-8708-903,MX,8708999800,A-201-903,C-201-903,75.0,5.0,2022-04-21,REVOKED
KR-8504-901,KR,8504501000,A-580-901,,25.0,0.0,2019-11-09,ACTIVE
CN-7326-910,CN,7326200000,A-570-910,C-570-910,25.0,100.0,2023-03-24,ACTIVE
CN-8503-911,CN,8503001000,A-570-911,C-570-911,100.0,100.0,2023-12-24,ACTIVE
CN-8501-912,CN,8501521000,A-570-912,C-570-912,150.0,25.0,2019-03-30,ACTIVE
IN-8507-905,IN,8507101000,A-533-905,,10.0,0.0,2021-03-14,ACTIVE
CN-8483-913,CN,8483509000,A-570-913,C-570-913,25.0,75.0,2019-10-18,ACTIVE
IN-8501-906,IN,8501521000,A-533-906,C-533-906,100.0,10.0,2021-08-09,ACTIVE
VN-8481-902,VN,8481809000,A-552-902,C-552-902,75.0,10.0,2023-05-22,ACTIVE
VN-8708-903,VN,8708101000,A-552-903,,5.0,0.0,2020-10-24,ACTIVE
IN-8413-907,IN,8413301000,A-533-907,C-533-907,25.0,200.0,2023-12-15,ACTIVE
KR-8481-902,KR,8481809000,A-580-902,,10.0,0.0,2023-04-15,ACTIVE
CN-8412-914,CN,8412291000,A-570-914,C-570-914,50.0,10.0,2023-07-17,SUSPENDED
CN-8483-915,CN,8483401000,A-570-915,,25.0,0.0,2023-03-29,ACTIVE
CN-8409-916,CN,8409919100,A-570-916,C-570-916,50.0,75.0,2021-11-28,ACTIVE
KR-8536-903,KR,8536101000,A-580-903,C-580-903,25.0,5.0,2023-08-13,REVOKED
CN-8413-917,CN,8413309100,A-570-917,C-570-917,200.0,75.0,2018-03-20,ACTIVE
CN-8536-918,CN,8536411000,A-570-918,C-570-918,250.0,10.0,2019-06-05,ACTIVE
CN-7318-919,CN,7318140000,A-570-919,,250.0,0.0,2023-01-02,ACTIVE
CN-8708-920,CN,8708911000,A-570-920,C-570-920,100.0,75.0,2019-07-13,ACTIVE
CN-8708-921,CN,8708709000,A-570-921,C-570-921,100.0,75.0,2024-08-28,ACTIVE
IN-8414-908,IN,8414308000,A-533-908,C-533-908,150.0,150.0,2018-08-04,REVOKED
CN-8708-922,CN,8708101000,A-570-922,C-570-922,25.0,10.0,2023-01-02,ACTIVE
IN-8481-909,IN,8481809000,A-533-909,,10.0,0.0,2020-01-23,ACTIVE
IN-7326-910,IN,7326200000,A-533-910,C-533-910,25.0,10.0,2020-02-10,REVOKED
CN-8409-923,CN,8409999100,A-570-923,,25.0,0.0,2022-10-23,ACTIVE
CN-8481-924,CN,8481802500,A-570-924,,25.0,0.0,2023-09-06,ACTIVE
VN-7318-904,VN,7318210000,A-552-904,C-552-904,75.0,10.0,2019-02-18,ACTIVE
MX-8414-904,MX,8414909000,A-201-904,C-201-904,50.0,10.0,2018-10-14,ACTIVE
IN-7318-911,IN,7318240000,A-533-911,C-533-911,50.0,200.0,2022-04-14,ACTIVE
IN-8544-912,IN,8544609000,A-533-912,C-533-912,50.0,10.0,2021-06-07,ACTIVE
CN-7326-925,CN,7326110000,A-570-925,C-570-925,250.0,75.0,2021-04-20,ACTIVE
CN-7318-926,CN,7318140000,A-570-926,C-570-926,250.0,100.0,2021-08-09,ACTIVE
CN-8503-927,CN,8503001000,A-570-927,C-570-927,50.0,75.0,2021-11-28,SUSPENDED
IN-7318-913,IN,7318140000,A-533-913,,100.0,0.0,2024-08-11,ACTIVE
CN-8507-928,CN,8507309000,A-570-928,C-570-928,150.0,50.0,2022-10-26,ACTIVE
CN-7326-929,CN,7326901000,A-570-929,C-570-929,250.0,50.0,2021-01-28,ACTIVE
CN-8536-930,CN,8536699000,A-570-930,C-570-930,50.0,25.0,2021-06-22,ACTIVE
MX-7326-905,MX,7326110000,A-201-905,C-201-905,50.0,5.0,2021-06-03,ACTIVE
MX-8503-906,MX,8503009500,A-201-906,C-201-906,25.0,10.0,2021-10-08,SUSPENDED
IN-8481-914,IN,8481802500,A-533-914,,150.0,0.0,2024-03-05,ACTIVE
IN-8414-915,IN,8414909000,A-533-915,C-533-915,50.0,5.0,2021-01-06,SUSPENDED
CN-8414-931,CN,8414901000,A-570-931,,300.0,0.0,2020-02-27,ACTIVE
CN-8504-932,CN,8504101000,A-570-932,C-570-932,25.0,50.0,2024-08-18,ACTIVE
MX-8708-907,MX,8708301000,A-201-907,,25.0,0.0,2022-05-20,ACTIVE
VN-8483-905,VN,8483102000,A-552-905,,50.0,0.0,2021-01-12,ACTIVE
CN-8412-933,CN,8412211000,A-570-933,C-570-933,100.0,25.0,2019-11-26,SUSPENDED
MX-8504-908,MX,8504501000,A-201-908,,5.0,0.0,2022-08-13,ACTIVE
CN-8408-934,CN,8408102000,A-570-934,C-570-934,100.0,100.0,2024-04-21,ACTIVE
IN-8413-916,IN,8413819000,A-533-916,C-533-916,50.0,10.0,2022-05-01,ACTIVE
CN-8413-935,CN,8413819000,A-570-935,C-570-935,200.0,75.0,2018-05-23,ACTIVE
KR-7318-904,KR,7318230000,A-580-904,,25.0,0.0,2018-07-06,ACTIVE
IN-8413-917,IN,8413819000,A-533-917,C-533-917,150.0,50.0,2022-10-14,ACTIVE
VN-8408-906,VN,8408201000,A-552-906,,10.0,0.0,2022-06-01,ACTIVE
CN-8507-936,CN,8507101000,A-570-936,C-570-936,150.0,10.0,2019-07-21,ACTIVE
CN-7318-937,CN,7318210000,A-570-937,C-570-937,25.0,75.0,2022-01-27,ACTIVE
IN-8413-918,IN,8413709100,A-533-918,C-533-918,10.0,25.0,2022-10-09,ACTIVE
CN-8544-938,CN,8544191000,A-570-938,C-570-938,100.0,50.0,2018-05-31,ACTIVE
CN-8409-939,CN,8409991000,A-570-939,C-570-939,25.0,75.0,2023-07-13,ACTIVE
MX-8409-909,MX,8409914000,A-201-909,C-201-909,5.0,25.0,2019-04-14,ACTIVE
CN-8504-940,CN,8504401000,A-570-940,,300.0,0.0,2020-05-02,REVOKED
CN-8544-941,CN,8544421000,A-570-941,C-570-941,150.0,50.0,2019-04-01,REVOKED
MX-7318-910,MX,7318290000,A-201-910,C-201-910,50.0,25.0,2020-07-12,SUSPENDED
CN-8544-942,CN,8544421000,A-570-942,C-570-942,200.0,10.0,2019-08-04,ACTIVE
MX-8507-911,MX,8507101000,A-201-911,C-201-911,75.0,5.0,2020-02-11,ACTIVE
MX-8544-912,MX,8544111000,A-201-912,C-201-912,75.0,25.0,2023-11-01,ACTIVE
IN-8483-919,IN,8483109000,A-533-919,C-533-919,10.0,150.0,2019-12-16,SUSPENDED
CN-8413-943,CN,8413309100,A-570-943,C-570-943,25.0,75.0,2020-12-07,ACTIVE
