PART_ID,PART_NUMBER,DESCRIPTION,COMMODITY_CODE,HTS_CODE,COO_DEFAULT,ADD_APPLICABLE,CVD_APPLICABLE,FTA_ELIGIBLE,CREATED_DATE,UPDATED_DATE
6ca6eda2-c46c-401b-8bc2-3dc2f880a31d,SO27199,BRUSH SET,ELECTRICAL_PARTS,8503009500,CN,True,False,False,2021-09-10,2022-09-01
85d5fb6d-d0b1-4ab6-944b-610ee32fae57,SHIPPING CRATE,MOUNTING KIT,ENGINE_PARTS,8409911000,IN,False,False,False,2022-10-29,2023-07-26
40d995d4-7725-4452-a4e6-4d3457f213d3,E658697,LOCK NUT,FASTENERS,7318120000,CN,True,True,False,2023-07-14,2024-06-05
2d67bad7-2ec2-41e1-bb66-78c59ffd63ff,09-000363,ENGINE MOUNT,VEHICLE_PARTS,8708999100,US,False,False,True,2024-03-29,2024-04-11
43a69e84-efe0-4d58-b162-26543f69c087,SO40825,PNEUMATIC ACTUATOR,HYDRAULIC,8412311000,CN,True,False,False,2024-10-24,2025-07-07
f304a454-857f-4998-ae55-08bf32114497,SO78619,DOOR HINGE,VEHICLE_PARTS,8708911000,US,False,False,True,2022-04-29,2022-11-11
993b2c27-fb7b-4628-a972-7e37341f5c84,SO74952,EXHAUST BRACKET,VEHICLE_PARTS,8708401000,US,False,False,True,2021-01-26,2021-05-30
05121976-5678-413c-875c-eb6f5dac0c8b,E298153,PUSH ROD,ENGINE_PARTS,8409999100,MX,False,False,True,2021-09-27,2022-08-01
d2ba9860-1ffa-49e6-8011-91763c816446,53-849649,TRANSMISSION MOUNT,VEHICLE_PARTS,8708911000,IN,False,True,False,2020-09-09,2020-09-22
59ad0117-dab2-49c7-9b44-a65b444fee6c,E262696,FENDER ASSEMBLY,VEHICLE_PARTS,8708911000,IN,True,False,False,2022-05-04,2022-09-15
ad65767b-08ed-4e0c-9db7-fdb607fbe130,SO40251,ENGINE BLOCK DIESEL,ENGINE,8408101000,US,False,False,True,2023-06-23,2023-12-28
cd80f041-e77d-4581-81b9-72c163ffcad1,MOUNTING KIT,MOUNTING KIT,VEHICLE_PARTS,8708921000,CN,True,False,False,2023-08-10,2023-09-29
e3ae4b38-fb3e-4439-ad3d-b43e5fda42e1,E910935,BATTERY MODULE,BATTERY,8507201000,CN,False,True,False,2022-03-11,2022-03-28
007c2f7c-b233-45f9-ae13-ac4a752cb0a2,SO24249,SPRING WASHER,FASTENERS,7318110000,CN,True,True,False,2020-04-19,2020-10-15
